Date;TT;EONIA
30-9-2019;1686;-0.451
27-9-2019;2773;-0.452
26-9-2019;2927;-0.457
25-9-2019;2575;-0.455
24-9-2019;2439;-0.454
23-9-2019;2419;-0.456
20-9-2019;2479;-0.458
19-9-2019;2696;-0.456
18-9-2019;2827;-0.457
17-9-2019;2750;-0.367
16-9-2019;2562;-0.367
13-9-2019;2249;-0.369
12-9-2019;1793;-0.366
11-9-2019;1718;-0.366
10-9-2019;1400;-0.365
9-9-2019;1174;-0.363
6-9-2019;1126;-0.362
5-9-2019;1366;-0.36
4-9-2019;1337;-0.362
3-9-2019;1338;-0.363
2-9-2019;1205;-0.362
30-8-2019;1398;-0.359
29-8-2019;2361;-0.365
28-8-2019;2548;-0.369
27-8-2019;2036;-0.365
26-8-2019;2145;-0.362
23-8-2019;2164;-0.361
22-8-2019;1996;-0.361
21-8-2019;7882;-0.369
20-8-2019;1919;-0.363
19-8-2019;1617;-0.364
16-8-2019;1619;-0.364
15-8-2019;1369;-0.362
14-8-2019;1390;-0.361
13-8-2019;1446;-0.359
12-8-2019;1411;-0.36
9-8-2019;1277;-0.358
8-8-2019;1319;-0.352
7-8-2019;1285;-0.359
6-8-2019;1176;-0.36
5-8-2019;1891;-0.356
2-8-2019;1252;-0.357
1-8-2019;1431;-0.361
31-7-2019;2902;-0.358
30-7-2019;3223;-0.365
29-7-2019;3505;-0.368
26-7-2019;3101;-0.366
25-7-2019;3060;-0.361
24-7-2019;3278;-0.365
23-7-2019;2916;-0.369
22-7-2019;2998;-0.369
19-7-2019;3048;-0.369
18-7-2019;3158;-0.368
17-7-2019;2953;-0.37
16-7-2019;2627;-0.37
15-7-2019;2520;-0.368
12-7-2019;2260;-0.366
11-7-2019;2053;-0.366
10-7-2019;2022;-0.368
9-7-2019;1941;-0.368
8-7-2019;1849;-0.368
5-7-2019;1982;-0.367
4-7-2019;2000;-0.367
3-7-2019;2000;-0.368
2-7-2019;2152;-0.367
1-7-2019;2192;-0.366
28-6-2019;1580;-0.36
27-6-2019;3070;-0.365
26-6-2019;4103;-0.37
25-6-2019;3383;-0.37
24-6-2019;3348;-0.359
21-6-2019;2977;-0.368
20-6-2019;1639;-0.374
19-6-2019;1415;-0.379
18-6-2019;3160;-0.368
17-6-2019;3027;-0.369
14-6-2019;2232;-0.368
13-6-2019;1786;-0.361
12-6-2019;1730;-0.367
11-6-2019;1743;-0.37
10-6-2019;521;-0.368
7-6-2019;611;-0.252
6-6-2019;1375;-0.367
5-6-2019;1433;-0.366
4-6-2019;1459;-0.365
3-6-2019;1427;-0.365
31-5-2019;1291;-0.359
30-5-2019;905;-0.372
29-5-2019;994;-0.37
28-5-2019;2848;-0.37
27-5-2019;2195;-0.369
24-5-2019;2191;-0.366
23-5-2019;2092;-0.368
22-5-2019;8656;-0.37
21-5-2019;1828;-0.371
20-5-2019;1714;-0.37
17-5-2019;1730;-0.37
16-5-2019;1477;-0.371
15-5-2019;1310;-0.368
14-5-2019;1228;-0.366
13-5-2019;3346;-0.368
10-5-2019;1328;-0.365
9-5-2019;1209;-0.364
8-5-2019;1088;-0.366
7-5-2019;1056;-0.363
6-5-2019;1277;-0.361
3-5-2019;1683;-0.356
2-5-2019;1359;-0.362
30-4-2019;1221;-0.359
29-4-2019;3445;-0.369
26-4-2019;3523;-0.37
25-4-2019;3576;-0.366
24-4-2019;2891;-0.369
23-4-2019;3110;-0.367
18-4-2019;2943;-0.366
17-4-2019;2441;-0.369
16-4-2019;2393;-0.366
15-4-2019;2152;-0.366
12-4-2019;2090;-0.364
11-4-2019;1807;-0.367
10-4-2019;1867;-0.367
9-4-2019;1701;-0.368
8-4-2019;1763;-0.37
5-4-2019;1926;-0.368
4-4-2019;1961;-0.368
3-4-2019;1910;-0.368
2-4-2019;1858;-0.367
1-4-2019;2102;-0.366
29-3-2019;1263;-0.356
28-3-2019;3669;-0.366
27-3-2019;3854;-0.37
26-3-2019;3549;-0.368
25-3-2019;3386;-0.368
22-3-2019;3274;-0.369
21-3-2019;3445;-0.371
20-3-2019;3191;-0.371
19-3-2019;3385;-0.368
18-3-2019;3297;-0.369
15-3-2019;3645;-0.366
14-3-2019;2836;-0.368
13-3-2019;2378;-0.367
12-3-2019;2465;-0.366
11-3-2019;2342;-0.371
8-3-2019;2216;-0.369
7-3-2019;1995;-0.364
6-3-2019;2026;-0.368
5-3-2019;1716;-0.372
4-3-2019;1590;-0.37
1-3-2019;1669;-0.368
28-2-2019;1362;-0.365
27-2-2019;2845;-0.371
26-2-2019;3376;-0.372
25-2-2019;2858;-0.37
22-2-2019;2807;-0.368
21-2-2019;2762;-0.37
20-2-2019;6992;-0.37
19-2-2019;2734;-0.369
18-2-2019;2599;-0.371
15-2-2019;2387;-0.369
14-2-2019;2079;-0.37
13-2-2019;2129;-0.369
12-2-2019;2238;-0.367
11-2-2019;2177;-0.366
8-2-2019;2185;-0.362
7-2-2019;1923;-0.363
6-2-2019;1833;-0.363
5-2-2019;2002;-0.363
4-2-2019;1915;-0.358
1-2-2019;1744;-0.365
31-1-2019;2067;-0.357
30-1-2019;3510;-0.369
29-1-2019;4476;-0.369
28-1-2019;4024;-0.368
25-1-2019;3672;-0.369
24-1-2019;3797;-0.369
23-1-2019;4132;-0.368
22-1-2019;4129;-0.368
21-1-2019;4227;-0.369
18-1-2019;3798;-0.371
17-1-2019;4224;-0.369
16-1-2019;4063;-0.37
15-1-2019;3483;-0.369
14-1-2019;2991;-0.366
11-1-2019;3283;-0.366
10-1-2019;3239;-0.366
9-1-2019;2672;-0.365
8-1-2019;2634;-0.362
7-1-2019;2654;-0.365
4-1-2019;2335;-0.365
3-1-2019;2497;-0.366
2-1-2019;2480;-0.368
31-12-2018;628;-0.356
28-12-2018;659;-0.355
27-12-2018;2741;-0.335
24-12-2018;1516;-0.369
21-12-2018;1398;-0.374
20-12-2018;2753;-0.362
19-12-2018;3435;-0.367
18-12-2018;3384;-0.366
17-12-2018;2968;-0.364
14-12-2018;2392;-0.362
13-12-2018;2560;-0.361
12-12-2018;2189;-0.36
11-12-2018;1852;-0.36
10-12-2018;2058;-0.358
7-12-2018;1697;-0.359
6-12-2018;1667;-0.359
5-12-2018;1518;-0.358
4-12-2018;2401;-0.369
3-12-2018;1656;-0.355
30-11-2018;1967;-0.349
29-11-2018;2819;-0.363
28-11-2018;3309;-0.365
27-11-2018;3223;-0.362
26-11-2018;2797;-0.362
23-11-2018;2636;-0.362
22-11-2018;2674;-0.362
21-11-2018;2695;-0.363
20-11-2018;2810;-0.362
19-11-2018;2941;-0.362
16-11-2018;2767;-0.362
15-11-2018;8408;-0.368
14-11-2018;2235;-0.36
13-11-2018;2603;-0.362
12-11-2018;2394;-0.36
9-11-2018;2098;-0.361
8-11-2018;1995;-0.363
7-11-2018;2488;-0.362
6-11-2018;2198;-0.362
5-11-2018;2227;-0.362
2-11-2018;2184;-0.362
1-11-2018;795;-0.353
31-10-2018;488;-0.341
30-10-2018;4014;-0.366
29-10-2018;5089;-0.37
26-10-2018;4919;-0.369
25-10-2018;4404;-0.368
24-10-2018;4727;-0.369
23-10-2018;4815;-0.369
22-10-2018;4792;-0.369
19-10-2018;4528;-0.368
18-10-2018;4455;-0.37
17-10-2018;4255;-0.371
16-10-2018;4106;-0.37
15-10-2018;3699;-0.369
12-10-2018;3385;-0.368
11-10-2018;3996;-0.366
10-10-2018;3687;-0.367
9-10-2018;3551;-0.365
8-10-2018;2680;-0.365
5-10-2018;2788;-0.362
4-10-2018;3243;-0.364
3-10-2018;1290;-0.365
2-10-2018;933;-0.365
1-10-2018;3096;-0.363
28-9-2018;2512;-0.351
27-9-2018;5745;-0.365
26-9-2018;5707;-0.367
25-9-2018;4820;-0.367
24-9-2018;4641;-0.366
21-9-2018;4618;-0.367
20-9-2018;4630;-0.366
19-9-2018;4632;-0.365
18-9-2018;4479;-0.367
17-9-2018;4716;-0.366
14-9-2018;4184;-0.366
13-9-2018;3160;-0.365
12-9-2018;8120;-0.371
11-9-2018;2651;-0.364
10-9-2018;2715;-0.358
7-9-2018;2507;-0.361
6-9-2018;2133;-0.357
5-9-2018;2537;-0.356
4-9-2018;2460;-0.353
3-9-2018;2217;-0.356
31-8-2018;2143;-0.342
30-8-2018;3630;-0.359
29-8-2018;4384;-0.364
28-8-2018;3879;-0.363
27-8-2018;3595;-0.363
24-8-2018;3619;-0.363
23-8-2018;4050;-0.363
22-8-2018;3830;-0.363
21-8-2018;3736;-0.363
20-8-2018;3600;-0.361
17-8-2018;3501;-0.36
16-8-2018;3410;-0.359
15-8-2018;2762;-0.362
14-8-2018;2587;-0.359
13-8-2018;2693;-0.357
10-8-2018;2668;-0.357
9-8-2018;2442;-0.357
8-8-2018;2499;-0.357
7-8-2018;2363;-0.356
6-8-2018;2672;-0.361
3-8-2018;2533;-0.355
2-8-2018;2227;-0.358
1-8-2018;2596;-0.358
31-7-2018;2771;-0.358
30-7-2018;5484;-0.363
27-7-2018;6289;-0.366
26-7-2018;5563;-0.366
25-7-2018;5659;-0.365
24-7-2018;5907;-0.366
23-7-2018;5672;-0.366
20-7-2018;5249;-0.367
19-7-2018;5199;-0.366
18-7-2018;5049;-0.366
17-7-2018;4858;-0.365
16-7-2018;4457;-0.364
13-7-2018;4111;-0.362
12-7-2018;3664;-0.363
11-7-2018;3895;-0.362
10-7-2018;3705;-0.362
9-7-2018;3474;-0.361
6-7-2018;3198;-0.362
5-7-2018;3406;-0.361
4-7-2018;3162;-0.363
3-7-2018;3171;-0.364
2-7-2018;3356;-0.361
29-6-2018;3143;-0.358
28-6-2018;4904;-0.366
27-6-2018;8744;-0.368
26-6-2018;5049;-0.364
25-6-2018;4772;-0.363
22-6-2018;4824;-0.364
21-6-2018;5083;-0.365
20-6-2018;5188;-0.364
19-6-2018;5230;-0.363
18-6-2018;4889;-0.365
15-6-2018;4555;-0.365
14-6-2018;4250;-0.364
13-6-2018;3359;-0.362
12-6-2018;3257;-0.362
11-6-2018;2885;-0.36
8-6-2018;2504;-0.357
7-6-2018;2505;-0.356
6-6-2018;2568;-0.357
5-6-2018;3665;-0.36
4-6-2018;2380;-0.356
1-6-2018;2498;-0.358
31-5-2018;905;-0.353
30-5-2018;827;-0.357
29-5-2018;4511;-0.363
28-5-2018;4586;-0.367
25-5-2018;4273;-0.366
24-5-2018;4189;-0.364
