Date;NT;R25;R75;TT;WT
12-3-2020;515;-0.55;-0.53;48041;-0.54
11-3-2020;524;-0.55;-0.53;48537;-0.543
10-3-2020;499;-0.55;-0.53;45152;-0.541
9-3-2020;500;-0.55;-0.52;40232;-0.539
6-3-2020;494;-0.55;-0.52;38242;-0.541
5-3-2020;484;-0.55;-0.52;36928;-0.54
4-3-2020;492;-0.55;-0.53;40672;-0.541
3-3-2020;356;-0.55;-0.53;35167;-0.542
2-3-2020;330;-0.55;-0.53;30645;-0.542
28-2-2020;434;-0.55;-0.52;33073;-0.54
27-2-2020;425;-0.55;-0.52;31087;-0.538
26-2-2020;414;-0.55;-0.52;34286;-0.539
25-2-2020;433;-0.55;-0.52;33258;-0.539
24-2-2020;433;-0.55;-0.52;34684;-0.54
21-2-2020;442;-0.55;-0.52;35098;-0.539
20-2-2020;440;-0.55;-0.52;32691;-0.538
19-2-2020;411;-0.55;-0.52;32866;-0.538
18-2-2020;413;-0.55;-0.53;31880;-0.536
17-2-2020;432;-0.55;-0.53;35151;-0.541
14-2-2020;436;-0.55;-0.53;34136;-0.538
13-2-2020;426;-0.55;-0.53;31655;-0.54
12-2-2020;423;-0.55;-0.53;31753;-0.541
11-2-2020;423;-0.55;-0.53;32222;-0.541
10-2-2020;440;-0.55;-0.53;33678;-0.537
7-2-2020;423;-0.55;-0.53;32644;-0.537
6-2-2020;427;-0.55;-0.52;33619;-0.535
5-2-2020;436;-0.55;-0.53;35449;-0.536
4-2-2020;464;-0.55;-0.53;36167;-0.536
3-2-2020;456;-0.55;-0.53;38392;-0.537
31-1-2020;436;-0.55;-0.53;32163;-0.539
30-1-2020;428;-0.55;-0.52;32097;-0.539
29-1-2020;437;-0.55;-0.53;32714;-0.54
28-1-2020;432;-0.55;-0.5;37845;-0.536
27-1-2020;434;-0.55;-0.53;33033;-0.538
24-1-2020;428;-0.55;-0.53;33324;-0.537
23-1-2020;425;-0.55;-0.53;31463;-0.537
22-1-2020;422;-0.55;-0.52;30474;-0.536
21-1-2020;430;-0.55;-0.53;31033;-0.535
20-1-2020;439;-0.55;-0.53;33566;-0.538
17-1-2020;409;-0.55;-0.53;31817;-0.537
16-1-2020;441;-0.55;-0.53;29388;-0.536
15-1-2020;411;-0.55;-0.53;26023;-0.538
14-1-2020;445;-0.55;-0.53;28664;-0.538
13-1-2020;465;-0.55;-0.53;31245;-0.537
10-1-2020;455;-0.55;-0.52;31837;-0.538
9-1-2020;441;-0.55;-0.53;30913;-0.539
8-1-2020;437;-0.55;-0.52;35150;-0.536
7-1-2020;453;-0.55;-0.53;34235;-0.54
6-1-2020;417;-0.55;-0.53;32777;-0.539
3-1-2020;414;-0.55;-0.53;27706;-0.537
2-1-2020;398;-0.55;-0.53;26611;-0.539
31-12-2019;192;-0.57;-0.5;17978;-0.531
30-12-2019;380;-0.56;-0.52;27143;-0.541
27-12-2019;419;-0.56;-0.53;27661;-0.542
24-12-2019;297;-0.57;-0.53;21242;-0.549
23-12-2019;346;-0.56;-0.53;21805;-0.545
20-12-2019;437;-0.56;-0.52;28851;-0.54
19-12-2019;442;-0.56;-0.52;28808;-0.54
18-12-2019;431;-0.56;-0.52;29119;-0.54
17-12-2019;452;-0.55;-0.5;35867;-0.536
16-12-2019;448;-0.56;-0.52;33184;-0.543
13-12-2019;432;-0.55;-0.52;31262;-0.543
12-12-2019;429;-0.56;-0.53;31864;-0.544
11-12-2019;436;-0.56;-0.52;32579;-0.544
10-12-2019;417;-0.56;-0.52;30501;-0.544
9-12-2019;445;-0.55;-0.52;29949;-0.541
6-12-2019;420;-0.55;-0.52;28819;-0.541
5-12-2019;459;-0.55;-0.52;32804;-0.54
4-12-2019;452;-0.55;-0.52;32581;-0.54
3-12-2019;455;-0.55;-0.5;31998;-0.539
2-12-2019;438;-0.55;-0.52;32038;-0.541
29-11-2019;406;-0.55;-0.5;31101;-0.532
28-11-2019;437;-0.55;-0.5;31550;-0.531
27-11-2019;445;-0.55;-0.5;31177;-0.533
26-11-2019;445;-0.55;-0.5;32256;-0.533
25-11-2019;338;-0.55;-0.5;30528;-0.533
22-11-2019;435;-0.55;-0.5;31816;-0.536
21-11-2019;450;-0.56;-0.51;32215;-0.542
20-11-2019;463;-0.55;-0.47;39662;-0.511
19-11-2019;453;-0.56;-0.52;33067;-0.542
18-11-2019;449;-0.56;-0.52;33869;-0.541
15-11-2019;439;-0.56;-0.51;31887;-0.541
14-11-2019;425;-0.55;-0.51;30027;-0.536
13-11-2019;286;-0.55;-0.5;23482;-0.531
12-11-2019;444;-0.56;-0.5;30250;-0.537
11-11-2019;429;-0.56;-0.5;30968;-0.541
8-11-2019;421;-0.56;-0.52;29466;-0.54
7-11-2019;463;-0.55;-0.52;31578;-0.537
6-11-2019;445;-0.56;-0.52;31243;-0.539
5-11-2019;463;-0.56;-0.52;32509;-0.541
4-11-2019;463;-0.56;-0.5;36811;-0.536
1-11-2019;374;-0.56;-0.53;28931;-0.549
31-10-2019;354;-0.56;-0.51;25342;-0.543
30-10-2019;422;-0.56;-0.53;28631;-0.545
29-10-2019;430;-0.56;-0.51;32763;-0.545
28-10-2019;416;-0.56;-0.53;32366;-0.548
