Date;1 Week;2 Weeks;1 Month;2 Months;3 Months;6 Months;9 Months;12 Months;Date2
02-01-2004;0.04;0.05;0.05;0.04;0.05;0.04;0.04;0.06;2-1-2004
05-01-2004;0.04;0.04;0.06;0.05;0.05;0.04;0.04;0.04;5-1-2004
06-01-2004;0.03;0.04;0.05;0.06;0.07;0.06;0.05;0.05;6-1-2004
07-01-2004;0.02;0.03;0.05;0.05;0.06;0.06;0.06;0.04;7-1-2004
09-01-2004;0.03;0.04;0.05;0.06;0.07;0.06;0.05;0.05;9-1-2004
12-01-2004;0.03;0.04;0.04;0.05;0.06;0.06;0.06;0.05;12-1-2004
13-01-2004;0.03;0.04;0.05;0.05;0.06;0.07;0.07;0.05;13-1-2004
14-01-2004;0.04;0.05;0.05;0.05;0.06;0.07;0.05;0.06;14-1-2004
15-01-2004;0.17;0.15;0.09;0.06;0.06;0.07;0.06;0.04;15-1-2004
16-01-2004;0.05;0.09;0.07;0.06;0.06;0.07;0.07;0.06;16-1-2004
19-01-2004;0.06;0.07;0.06;0.05;0.05;0.05;0.04;0.04;19-1-2004
20-01-2004;0.05;0.07;0.06;0.05;0.06;0.06;0.04;0.04;20-1-2004
21-01-2004;0.05;0.06;0.06;0.05;0.06;0.05;0.04;0.04;21-1-2004
22-01-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.04;0.04;22-1-2004
23-01-2004;10.01;0.04;0.05;0.05;0.05;0.05;0.06;0.04;23-1-2004
26-01-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.03;26-1-2004
27-01-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.07;0.04;27-1-2004
28-01-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.06;0.04;28-1-2004
29-01-2004;0.04;0.04;0.05;0.05;0.05;0.06;0.07;0.05;29-1-2004
30-01-2004;0.05;0.05;0.04;0.05;0.05;0.06;0.06;0.04;30-1-2004
