;Real_GDP_growth;Month;Real_GDP_growth;;;;;;;;;Inflation
1997M01;0.019601889;1997-01;1.960188937;1998Q4;1.873.464.6;;;1995-01-01;1809036.7;;;2.2
1997M02;0.019601889;1997-02;1.960188937;1999Q1;1.767.927.0;-0.1;;1995-04-01;1847828.1;;;2.0
1997M03;0.019601889;1997-03;1.960188937;1999Q2;1.842.376.8;0.0;;1995-07-01;1829625.7;;;1.7
1997M04;-0.002862713;1997-04;-0.286271322;1999Q3;1.847.335.7;0.0;;1995-10-01;1909207.4;;;1.5
1997M05;-0.002862713;1997-05;-0.286271322;1999Q4;1.975.460.5;0.1;;1996-01-01;1828853.1;;;1.5
1997M06;-0.002862713;1997-06;-0.286271322;2000Q1;1.884.214.4;0.0;;1996-04-01;1875322.0;;;1.5
1997M07;0.020479745;1997-07;2.04797454;2000Q2;1.957.264.7;0.0;;1996-07-01;1868182.4;;;1.7
1997M08;0.020479745;1997-08;2.04797454;2000Q3;1.953.234.4;0.0;;1996-10-01;1943242.4;;;1.8
1997M09;0.020479745;1997-09;2.04797454;2000Q4;2.076.644.5;0.1;;1997-01-01;1847426.0;-0.021959926;-0.049307487;1.7
1997M10;-0.018262351;1997-10;-1.826235123;2001Q1;1.984.188.7;0.0;;1997-04-01;1932720.0;0.019601889;0.046169102;1.7
1997M11;-0.018262351;1997-11;-1.826235123;2001Q2;2.055.595.3;0.0;;1997-07-01;1920022.1;-0.002862713;-0.006569964;1.8
1997M12;-0.018262351;1997-12;-1.826235123;2001Q3;2.038.566.4;0.0;;1997-10-01;2012732.1;0.020479745;0.048285903;1.6
1998M01;0.01199123;1998-01;1.199123018;2001Q4;2.165.544.6;0.1;;1998-01-01;1929850.3;-0.018262351;-0.041178754;1.3
1998M02;0.01199123;1998-02;1.199123018;2002Q1;2.048.151.5;-0.1;;1998-04-01;1983877.5;0.01199123;0.027995539;1.3
1998M03;0.01199123;1998-03;1.199123018;2002Q2;2.131.938.0;0.0;;1998-07-01;1976507.5;-0.001616385;-0.003714947;1.3
1998M04;-0.001616385;1998-04;-0.161638529;2002Q3;2.123.947.7;0.0;;1998-10-01;2052999.3;0.016490335;0.038700486;1.6
1998M05;-0.001616385;1998-05;-0.161638529;2002Q4;2.237.006.9;0.1;;1999-01-01;1971416.2;-0.01761048;-0.039738494;1.6
1998M06;-0.001616385;1998-06;-0.161638529;2003Q1;2.104.991.7;-0.1;;1999-04-01;2034052.0;0.01358373;0.031771982;1.5
1998M07;0.016490335;1998-07;1.649033465;2003Q2;2.176.911.1;0.0;;1999-07-01;2032874.7;-0.00025144;-0.000578795;1.4
1998M08;0.016490335;1998-08;1.649033465;2003Q3;2.182.282.3;0.0;;1999-10-01;2137813.7;0.021859245;0.051620988;1.3
1998M09;0.016490335;1998-09;1.649033465;2003Q4;2.305.909.0;0.1;;2000-01-01;2066686.5;-0.014695253;-0.033271;1.2
1998M10;-0.01761048;1998-10;-1.761048027;2004Q1;2.191.866.7;0.0;;2000-04-01;2120575.8;0.011179198;0.026075218;1.1
1998M11;-0.01761048;1998-11;-1.761048027;2004Q2;2.287.198.7;0.0;;2000-07-01;2103622.3;-0.003486035;-0.007994763;1.0
1998M12;-0.01761048;1998-12;-1.761048027;2004Q3;2.275.925.3;0.0;;2000-10-01;2197454.6;0.018952145;0.044605108;1.0
1999M01;0.01358373;1999-01;1.358373033;2004Q4;2.415.539.9;0.1;;2001-01-01;2129444.1;-0.013653667;-0.030949672;1.0
1999M02;0.01358373;1999-02;1.358373033;2005Q1;2.278.390.0;-0.1;;2001-04-01;2170378.5;0.008269235;0.019223045;0.9
1999M03;0.01358373;1999-03;1.358373033;2005Q2;2.391.173.4;0.0;;2001-07-01;2143055.1;-0.005502141;-0.012589233;1.1
1999M04;-0.00025144;1999-04;-0.025144043;2005Q3;2.372.635.0;0.0;;2001-10-01;2230096.1;0.017290241;0.040615381;1.2
1999M05;-0.00025144;1999-05;-0.025144043;2005Q4;2.521.292.4;0.1;;2002-01-01;2128325.2;-0.020285591;-0.045635208;1.0
1999M06;-0.00025144;1999-06;-0.025144043;2006Q1;2.410.105.3;0.0;;2002-04-01;2193694.9;0.013138238;0.03071415;1.0
1999M07;0.021859245;1999-07;2.185924497;2006Q2;2.518.981.9;0.0;;2002-07-01;2175799.3;-0.003557393;-0.008157743;1.1
1999M08;0.021859245;1999-08;2.185924497;2006Q3;2.505.995.1;0.0;;2002-10-01;2254085.9;0.01535163;0.035980616;1.2
1999M09;0.021859245;1999-09;2.185924497;2006Q4;2.680.416.6;0.1;;2003-01-01;2146947.2;-0.021149098;-0.047530886;1.3
1999M10;-0.014695253;1999-10;-1.46952533;2007Q1;2.567.500.8;0.0;;2003-04-01;2195827.3;0.009776816;0.022767258;1.3
1999M11;-0.014695253;1999-11;-1.46952533;2007Q2;2.673.254.7;0.0;;2003-07-01;2186064.4;-0.001935228;-0.004446115;1.4
1999M12;-0.014695253;1999-12;-1.46952533;2007Q3;2.662.461.7;0.0;;2003-10-01;2279052.3;0.01809134;0.04253667;1.7
2000M01;0.011179198;2000-01;1.117919835;2007Q4;2.838.798.3;0.1;;2004-01-01;2194126.3;-0.016492668;-0.037263735;1.7
2000M02;0.011179198;2000-02;1.117919835;2008Q1;2.685.638.5;-0.1;;2004-04-01;2256487.8;0.012171367;0.028422019;1.8
2000M03;0.011179198;2000-03;1.117919835;2008Q2;2.805.235.2;0.0;;2004-07-01;2234155.4;-0.004319612;-0.009896974;1.8
2000M04;-0.003486035;2000-04;-0.348603491;2008Q3;2.767.674.2;0.0;;2004-10-01;2324007.0;0.017124054;0.040217256;1.5
2000M05;-0.003486035;2000-05;-0.348603491;2008Q4;2.829.027.8;0.0;;2005-01-01;2216161.7;-0.020635987;-0.046404895;1.6
2000M06;-0.003486035;2000-06;-0.348603491;2009Q1;2.547.305.9;-0.1;;2005-04-01;2301462.8;0.016402514;0.038490468;1.9
2000M07;0.018952145;2000-07;1.895214518;2009Q2;2.630.797.6;0.0;;2005-07-01;2275096.7;-0.005004099;-0.011456236;1.9
2000M08;0.018952145;2000-08;1.895214518;2009Q3;2.633.465.5;0.0;;2005-10-01;2365754.5;0.016969814;0.039847889;1.8
2000M09;0.018952145;2000-09;1.895214518;2009Q4;2.777.743.3;0.1;;2006-01-01;2296151.6;-0.012969117;-0.029421016;2.2
2000M10;-0.013653667;2000-10;-1.36536673;2010Q1;2.612.753.3;-0.1;;2006-04-01;2364223.9;0.012688045;0.029646257;2.2
2000M11;-0.013653667;2000-11;-1.36536673;2010Q2;2.737.018.9;0.0;;2006-07-01;2342771.6;-0.003958653;-0.009073718;2.3
2000M12;-0.013653667;2000-12;-1.36536673;2010Q3;2.739.713.7;0.0;;2006-10-01;2449915.6;0.019421172;0.045733865;2.2
2001M01;0.008269235;2001-01;0.826923471;2010Q4;2.890.288.9;0.1;;2007-01-01;2373842.1;-0.013699295;-0.031051478;1.9
2001M02;0.008269235;2001-02;0.826923471;2011Q1;2.740.759.2;-0.1;;2007-04-01;2438421.2;0.011656898;0.027204463;1.8
2001M03;0.008269235;2001-03;0.826923471;2011Q2;2.838.902.9;0.0;;2007-07-01;2415233.2;-0.004149656;-0.009509432;2.0
2001M04;-0.005502141;2001-04;-0.550214129;2011Q3;2.820.441.3;0.0;;2007-10-01;2508179.5;0.016399544;0.038483365;2.5
2001M05;-0.005502141;2001-05;-0.550214129;2011Q4;2.924.925.2;0.0;;2008-01-01;2416118.3;-0.016240419;-0.036704391;2.8
2001M06;-0.005502141;2001-06;-0.550214129;2012Q1;2.766.492.7;-0.1;;2008-04-01;2476659.6;0.010748125;0.025057258;2.7
2001M07;0.017290241;2001-07;1.729024089;2012Q2;2.838.406.2;0.0;;2008-07-01;2429331.4;-0.008379556;-0.019109691;2.4
2001M08;0.017290241;2001-08;1.729024089;2012Q3;2.839.093.6;0.0;;2008-10-01;2453510.0;0.004301069;0.00995278;2.3
2001M09;0.017290241;2001-09;1.729024089;2012Q4;2.948.389.0;0.0;;2009-01-01;2278184.5;-0.03219894;-0.071459053;2.1
2001M10;-0.020285591;2001-10;-2.028559097;2013Q1;2.767.721.4;-0.1;;2009-04-01;2329291.1;0.009634875;0.022433038;2.1
2001M11;-0.020285591;2001-11;-2.028559097;2013Q2;2.878.542.6;0.0;;2009-07-01;2325154.7;-0.000771914;-0.001775819;1.8
2001M12;-0.020285591;2001-12;-2.028559097;2013Q3;2.880.216.5;0.0;;2009-10-01;2403058.5;0.01431249;0.033504781;1.9
2002M01;0.013138238;2002-01;1.313823834;2013Q4;2.993.525.1;0.0;;2010-01-01;2306372.8;-0.017834836;-0.040234435;2.4
2002M02;0.013138238;2002-02;1.313823834;2014Q1;2.838.033.9;-0.1;;2010-04-01;2387864.9;0.015080244;0.035333447;2.3
2002M03;0.013138238;2002-03;1.313823834;2014Q2;2.932.017.9;0.0;;2010-07-01;2380164.8;-0.001402724;-0.00322468;2.4
2002M04;-0.003557393;2002-04;-0.355739288;2014Q3;2.945.740.8;0.0;;2010-10-01;2460235.5;0.014369653;0.033640822;2.2
2002M05;-0.003557393;2002-05;-0.355739288;2014Q4;3.068.675.5;0.0;;2011-01-01;2378658.2;-0.01464464;-0.03315833;1.8
2002M06;-0.003557393;2002-06;-0.355739288;2015Q1;2.925.142.6;0.0;;2011-04-01;2434676.5;0.010109223;0.023550378;1.7
2002M07;0.01535163;2002-07;1.535162967;2015Q2;3.041.518.8;0.0;;2011-07-01;2417927.5;-0.002997989;-0.006879353;1.8
