Date;1 Week;2 Weeks;1 Month;2 Months;3 Months;6 Months;9 Months;12 Months;EONIA;Inflation;Real_GDP_growth
2-1-2004;0.04;0.05;0.05;0.04;0.05;0.04;0.04;0.06;2.06;1.7;1.217136664
5-1-2004;0.04;0.04;0.06;0.05;0.05;0.04;0.04;0.04;2.05;1.7;1.217136664
6-1-2004;0.03;0.04;0.05;0.06;0.07;0.06;0.05;0.05;2.04;1.7;1.217136664
7-1-2004;0.02;0.03;0.05;0.05;0.06;0.06;0.06;0.04;2.04;1.7;1.217136664
9-1-2004;0.03;0.04;0.05;0.06;0.07;0.06;0.05;0.05;2.04;1.7;1.217136664
12-1-2004;0.03;0.04;0.04;0.05;0.06;0.06;0.06;0.05;2.04;1.7;1.217136664
13-1-2004;0.03;0.04;0.05;0.05;0.06;0.07;0.07;0.05;2.04;1.7;1.217136664
14-1-2004;0.04;0.05;0.05;0.05;0.06;0.07;0.05;0.06;2.02;1.7;1.217136664
15-1-2004;0.17;0.15;0.09;0.06;0.06;0.07;0.06;0.04;1.94;1.7;1.217136664
16-1-2004;0.05;0.09;0.07;0.06;0.06;0.07;0.07;0.06;1.95;1.7;1.217136664
19-1-2004;0.06;0.07;0.06;0.05;0.05;0.05;0.04;0.04;1.99;1.7;1.217136664
20-1-2004;0.05;0.07;0.06;0.05;0.06;0.06;0.04;0.04;2;1.7;1.217136664
21-1-2004;0.05;0.06;0.06;0.05;0.06;0.05;0.04;0.04;2.04;1.7;1.217136664
22-1-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.04;0.04;1.98;1.7;1.217136664
23-1-2004;0.04;0.04;0.05;0.05;0.05;0.05;0.06;0.04;1.92;1.7;1.217136664
26-1-2004;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.03;2.05;1.7;1.217136664
27-1-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.07;0.04;2.05;1.7;1.217136664
28-1-2004;0.05;0.05;0.05;0.05;0.06;0.06;0.06;0.04;2.05;1.7;1.217136664
29-1-2004;0.04;0.04;0.05;0.05;0.05;0.06;0.07;0.05;2.05;1.7;1.217136664
30-1-2004;0.05;0.05;0.04;0.05;0.05;0.06;0.06;0.04;2.06;1.7;1.217136664
2-2-2004;0.05;0.05;0.04;0.05;0.04;0.05;0.05;0.03;2.04;1.5;1.217136664
3-2-2004;0.03;0.04;0.04;0.05;0.05;0.06;0.04;0.05;2.03;1.5;1.217136664
4-2-2004;0.03;0.04;0.05;0.06;0.05;0.05;0.03;0.04;2.03;1.5;1.217136664
5-2-2004;0.03;0.04;0.05;0.06;0.05;0.05;0.04;0.03;2.03;1.5;1.217136664
