Date;NT;R25;R75;TT;WT
30-9-2019;414;-0.58;-0.53;33953;-0.549
27-9-2019;420;-0.56;-0.53;32263;-0.547
26-9-2019;417;-0.57;-0.53;33575;-0.549
25-9-2019;441;-0.57;-0.54;36298;-0.553
24-9-2019;427;-0.57;-0.54;35504;-0.552
23-9-2019;420;-0.57;-0.54;34171;-0.554
20-9-2019;430;-0.57;-0.54;35480;-0.553
19-9-2019;432;-0.57;-0.54;36207;-0.555
18-9-2019;455;-0.57;-0.54;33843;-0.552
17-9-2019;526;-0.47;-0.44;37261;-0.451
16-9-2019;486;-0.47;-0.44;33044;-0.45
13-9-2019;489;-0.47;-0.44;34309;-0.451
12-9-2019;464;-0.47;-0.44;33189;-0.449
11-9-2019;461;-0.47;-0.44;32843;-0.45
10-9-2019;479;-0.47;-0.44;36951;-0.451
9-9-2019;494;-0.47;-0.44;36393;-0.45
6-9-2019;463;-0.47;-0.44;31937;-0.45
5-9-2019;474;-0.46;-0.44;32242;-0.449
4-9-2019;477;-0.47;-0.44;35951;-0.45
3-9-2019;481;-0.46;-0.44;35270;-0.449
2-9-2019;487;-0.47;-0.44;39196;-0.449
30-8-2019;465;-0.47;-0.44;39285;-0.448
29-8-2019;452;-0.47;-0.44;38854;-0.45
28-8-2019;482;-0.47;-0.44;40851;-0.451
27-8-2019;495;-0.47;-0.44;40062;-0.45
26-8-2019;425;-0.47;-0.44;33585;-0.45
23-8-2019;422;-0.46;-0.44;32337;-0.449
22-8-2019;474;-0.47;-0.44;38957;-0.449
21-8-2019;507;-0.46;-0.37;50940;-0.427
20-8-2019;473;-0.47;-0.44;40893;-0.45
19-8-2019;506;-0.47;-0.44;46222;-0.453
16-8-2019;489;-0.48;-0.44;45716;-0.454
15-8-2019;422;-0.47;-0.44;40529;-0.452
14-8-2019;417;-0.47;-0.44;40015;-0.451
13-8-2019;484;-0.47;-0.44;41672;-0.451
12-8-2019;471;-0.47;-0.44;39322;-0.451
9-8-2019;457;-0.47;-0.44;38574;-0.449
8-8-2019;467;-0.47;-0.44;40202;-0.452
7-8-2019;484;-0.48;-0.44;42074;-0.454
6-8-2019;486;-0.47;-0.44;40846;-0.452
5-8-2019;501;-0.47;-0.44;40753;-0.452
2-8-2019;469;-0.47;-0.44;36773;-0.452
1-8-2019;476;-0.47;-0.44;37024;-0.451
31-7-2019;464;-0.47;-0.44;36700;-0.449
30-7-2019;471;-0.47;-0.43;37593;-0.448
29-7-2019;470;-0.47;-0.44;35565;-0.449
26-7-2019;466;-0.47;-0.44;34762;-0.449
25-7-2019;467;-0.47;-0.44;33899;-0.45
24-7-2019;469;-0.47;-0.44;34561;-0.449
23-7-2019;479;-0.47;-0.44;37664;-0.451
22-7-2019;482;-0.47;-0.44;38735;-0.452
19-7-2019;489;-0.47;-0.44;39138;-0.452
18-7-2019;478;-0.47;-0.44;39054;-0.452
17-7-2019;479;-0.47;-0.44;38926;-0.452
16-7-2019;501;-0.47;-0.44;37858;-0.451
15-7-2019;471;-0.47;-0.44;36060;-0.45
12-7-2019;466;-0.47;-0.44;37153;-0.451
11-7-2019;477;-0.47;-0.44;36917;-0.45
10-7-2019;458;-0.47;-0.44;35553;-0.45
9-7-2019;485;-0.47;-0.44;39056;-0.452
8-7-2019;465;-0.47;-0.44;39269;-0.452
5-7-2019;459;-0.47;-0.44;37629;-0.45
4-7-2019;470;-0.47;-0.44;39101;-0.45
3-7-2019;477;-0.47;-0.44;41897;-0.452
2-7-2019;479;-0.47;-0.44;38660;-0.45
1-7-2019;462;-0.47;-0.44;37081;-0.45
28-6-2019;431;-0.5;-0.43;32584;-0.459
